doc_id,corpus,doc_ref,decision_date,chars,body_hash,canonical,passages
amcu:1,amcu,6-рк,2023-07-06,39330,99bebfb615b3ae190629ad0134cf1570,True,39
amcu:10,amcu,929-р,2025-12-04,2107,f489f92b5c0d05f1cc8c35ac2430e1d4,True,2
amcu:100,amcu,1019-р,2025-12-24,3763,4b4e7b2bd204f67e7017102884643db0,True,4
amcu:1000,amcu,221-р,2026-02-26,3403,b07f1dbc394cd149c6897a67355b1fc2,True,3
amcu:1001,amcu,222-р,2026-02-26,3397,74c7e60b64f8377f5d28228977b1b809,True,3
amcu:1002,amcu,223-р,2026-02-26,3396,d070d5e6652a28a0f345c1a4702eb56c,True,3
amcu:1003,amcu,224-р,2026-02-26,3392,468b6394b63d786a4087d1a183f344da,True,3
amcu:1004,amcu,225-р,2026-02-26,3379,adfae7b8c984c5887dc26a632935b507,True,3
amcu:1005,amcu,226-р,2026-02-26,3382,343ff7d49faf79b4e2faf2e8278904e9,True,3
amcu:1006,amcu,227-р,2026-02-26,3339,188c9be5b2de246a4769eb7e4b56c97d,True,3
amcu:1007,amcu,228-р,2026-02-26,3339,56f0ab5475b43c5d69fe351e4f98b441,True,3
amcu:1008,amcu,229-р,2026-02-26,3381,9640f14317c6cbe0fe4f59ca0e576e2c,True,3
amcu:1009,amcu,230-р,2026-02-26,3339,fc20c21f5f204761d01079d46b883b2d,True,3
amcu:101,amcu,1020-р,2025-12-24,4238,70f2905c5af08db506d9f0072de186fa,True,4
amcu:1010,amcu,231-р,2026-02-26,3339,59b5bff55d915a9109d4ea44b9c50d42,True,3
amcu:1011,amcu,392-р,2019-06-06,3123,2eceafbd20302b64a02aa41bd0f6a12e,True,3
amcu:1012,amcu,393-р,2019-06-06,2110,63bd4df441c89f8bb186d4a04d622846,True,2
amcu:1013,amcu,394-р,2019-06-06,4257,30386e550bea0c5e5a0d0e5d89362b78,True,4
amcu:1014,amcu,395-р,2019-06-06,4302,cb6f9277d6cead32c771d5d8d4d5d28d,True,4
amcu:1015,amcu,396-р,2019-06-06,2957,f1b3e5f9bc8a54e22269929a9b28941f,True,3
amcu:1016,amcu,397-р,2019-06-06,4600,3dee3f64b58a2680e4b809c2bf3a3cf0,True,5
amcu:1017,amcu,398-р,2019-06-06,4641,a1108a1625fb820e3e4b5b858b763cfb,True,5
amcu:1018,amcu,399-р,2019-06-06,5191,2bd152f15ce440e873364b4794ca231a,True,5
amcu:1019,amcu,400-р,2019-06-06,5209,94f13cf13a068dda3c9fac5fc1346927,True,5
amcu:102,amcu,1021-р,2025-12-24,3941,c7756734dee7dae9e47bfac4cd2110d3,True,4
amcu:1020,amcu,401-р,2019-06-06,4782,cccd8f2ed806af70a88b01c8f5a263e6,True,5
amcu:1021,amcu,402-р,2019-06-06,4785,c81da68b43522aad3b58d92a603cc927,True,5
amcu:1022,amcu,403-р,2019-06-06,4660,f04e29131d0046d85ec7cd76a3de168e,True,5
amcu:1023,amcu,404-р,2019-06-06,4575,d33e948d145bf73b0e9d3efaf78de8fc,True,5
amcu:1024,amcu,405-р,2019-06-06,3722,475f48bc9a41f5e8200b1e7e7c41e2df,True,4
amcu:1025,amcu,406-р,2019-06-06,4603,8fcef2f4b95e362d3f44756d655b02a4,True,5
amcu:1026,amcu,407-р,2019-06-06,3295,89df0d8203d243fb49e73fa6181463de,True,3
amcu:1027,amcu,408-р,2019-06-06,3312,9694b78b6846f9a81dcfb1b575b85a00,True,3
amcu:1028,amcu,409-р,2019-06-06,31846,5a0f56a26cf4eb6046c60e32db533e48,True,32
amcu:1029,amcu,410-р,2019-06-06,41673,da5f195e11a56a1c96a9eda906728278,True,40
